fecha_utc,parte,modelo_id,modelo,backend,parametros,caso,variante,corrida,tokens_entrada,tokens_salida,tokens_razonamiento,latencia_s,salida,prediccion,esperado,acierto,costo_usd,error,nota
2026-09-19T16:16:51+00:00,2a,propietario_economico,gpt-4o-mini,openai,"{""max_output_tokens"": 30, ""temperature"": 1.6}",temperature,defecto|sonda|1.6,0,18,4,0,1.6759,Quokka.,,,,5.1e-06,,
2026-09-19T16:16:52+00:00,2a,propietario_economico,gpt-4o-mini,openai,"{""max_output_tokens"": 30, ""temperature"": 1.0}",temperature,defecto|sonda|1.0,0,18,4,0,0.9266,Penguin.,,,,5.1e-06,,
2026-09-19T16:16:52+00:00,2a,propietario_economico,gpt-4o-mini,openai,"{""max_output_tokens"": 30, ""top_p"": 0.01}",top_p,defecto|sonda|0.01,0,18,4,0,0.8216,Octopus.,,,,5.1e-06,,
2026-09-19T16:16:53+00:00,2a,propietario_economico,gpt-4o-mini,openai,"{""max_output_tokens"": 30, ""top_p"": 1.0}",top_p,defecto|sonda|1.0,0,18,5,0,0.9122,Giraffe.,,,,5.7e-06,,
2026-09-19T16:16:54+00:00,2a,propietario_economico,gpt-4o-mini,openai,"{""extra_body"": {""top_k"": 40}, ""max_output_tokens"": 30}",top_k,defecto|sonda|40,0,,,,0.3328,,,,,0.0,"BadRequestError | codigo=400 | mensaje=Error code: 400 - {'error': {'message': ""Unknown parameter: 'top_k'. Did you mean 'top_p'?"", 'type': 'invalid_request_error', 'param': 'top_k', 'code': 'unknown_parameter'}} | cuerpo={'message': ""Unknown parameter: 'top_k'. Did you mean 'top_p'?"", 'type': 'invalid_request_error', 'param': 'top_k', 'code': 'unknown_parameter'}",
2026-09-19T16:16:54+00:00,2a,openai_razonamiento,gpt-5.6-luna,openai,"{""max_output_tokens"": 2000, ""temperature"": 1.6}",temperature,effort=medium(defecto)|sonda|1.6,0,,,,0.5047,,,,,0.0,"BadRequestError | codigo=400 | mensaje=Error code: 400 - {'error': {'message': ""Unsupported parameter: 'temperature' is not supported with this model."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': None}} | cuerpo={'message': ""Unsupported parameter: 'temperature' is not supported with this model."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': None}",
2026-09-19T16:16:56+00:00,2a,openai_razonamiento,gpt-5.6-luna,openai,"{""max_output_tokens"": 2000, ""temperature"": 1.0}",temperature,effort=medium(defecto)|sonda|1.0,0,17,6,0,1.39,Quokka,,,,1.06e-05,,
2026-09-19T16:16:56+00:00,2a,openai_razonamiento,gpt-5.6-luna,openai,"{""max_output_tokens"": 2000, ""top_p"": 0.01}",top_p,effort=medium(defecto)|sonda|0.01,0,,,,0.2876,,,,,0.0,"BadRequestError | codigo=400 | mensaje=Error code: 400 - {'error': {'message': ""Unsupported parameter: 'top_p' is not supported with this model."", 'type': 'invalid_request_error', 'param': 'top_p', 'code': None}} | cuerpo={'message': ""Unsupported parameter: 'top_p' is not supported with this model."", 'type': 'invalid_request_error', 'param': 'top_p', 'code': None}",
2026-09-19T16:16:56+00:00,2a,openai_razonamiento,gpt-5.6-luna,openai,"{""max_output_tokens"": 2000, ""top_p"": 1.0}",top_p,effort=medium(defecto)|sonda|1.0,0,,,,0.2492,,,,,0.0,"BadRequestError | codigo=400 | mensaje=Error code: 400 - {'error': {'message': ""Unsupported parameter: 'top_p' is not supported with this model."", 'type': 'invalid_request_error', 'param': 'top_p', 'code': None}} | cuerpo={'message': ""Unsupported parameter: 'top_p' is not supported with this model."", 'type': 'invalid_request_error', 'param': 'top_p', 'code': None}",
2026-09-19T16:16:56+00:00,2a,openai_razonamiento,gpt-5.6-luna,openai,"{""extra_body"": {""top_k"": 40}, ""max_output_tokens"": 2000}",top_k,effort=medium(defecto)|sonda|40,0,,,,0.2684,,,,,0.0,"BadRequestError | codigo=400 | mensaje=Error code: 400 - {'error': {'message': ""Unknown parameter: 'top_k'. Did you mean 'top_p'?"", 'type': 'invalid_request_error', 'param': 'top_k', 'code': 'unknown_parameter'}} | cuerpo={'message': ""Unknown parameter: 'top_k'. Did you mean 'top_p'?"", 'type': 'invalid_request_error', 'param': 'top_k', 'code': 'unknown_parameter'}",
2026-09-19T16:16:57+00:00,2a,openai_razonamiento,gpt-5.6-luna,openai,"{""effort"": ""none"", ""max_output_tokens"": 2000, ""temperature"": 1.6}",temperature,effort=none|sonda|1.6,0,17,6,0,0.9668,Penguin,,,,1.06e-05,,
2026-09-19T16:16:58+00:00,2a,openai_razonamiento,gpt-5.6-luna,openai,"{""effort"": ""none"", ""max_output_tokens"": 2000, ""temperature"": 1.0}",temperature,effort=none|sonda|1.0,0,17,7,0,1.0321,Axolotl,,,,1.18e-05,,
2026-09-19T16:16:59+00:00,2a,openai_razonamiento,gpt-5.6-luna,openai,"{""effort"": ""none"", ""max_output_tokens"": 2000, ""top_p"": 0.01}",top_p,effort=none|sonda|0.01,0,17,6,0,0.8416,Quokka,,,,1.06e-05,,
2026-09-19T16:17:00+00:00,2a,openai_razonamiento,gpt-5.6-luna,openai,"{""effort"": ""none"", ""max_output_tokens"": 2000, ""top_p"": 1.0}",top_p,effort=none|sonda|1.0,0,17,7,0,1.0607,Platypus,,,,1.18e-05,,
2026-09-19T16:17:01+00:00,2a,openai_razonamiento,gpt-5.6-luna,openai,"{""effort"": ""none"", ""extra_body"": {""top_k"": 40}, ""max_output_tokens"": 2000}",top_k,effort=none|sonda|40,0,,,,0.248,,,,,0.0,"BadRequestError | codigo=400 | mensaje=Error code: 400 - {'error': {'message': ""Unknown parameter: 'top_k'. Did you mean 'top_p'?"", 'type': 'invalid_request_error', 'param': 'top_k', 'code': 'unknown_parameter'}} | cuerpo={'message': ""Unknown parameter: 'top_k'. Did you mean 'top_p'?"", 'type': 'invalid_request_error', 'param': 'top_k', 'code': 'unknown_parameter'}",
2026-09-19T16:17:01+00:00,2a,open_weight_pequeno,qwen3:1.7b,ollama,"{""num_predict"": 20, ""temperature"": -5, ""think"": false}",control,think=False|sonda|temperature=-5,0,27,3,0,0.867,Tiger,,,,0.0,,ollama_total_s=0.864;carga_s=0.806
2026-09-19T16:17:02+00:00,2a,propietario_economico,gpt-4o-mini,openai,"{""max_output_tokens"": 30, ""temperature"": 0}",medicion,defecto|med|T0,0,18,4,0,0.8511,Octopus.,,,,5.1e-06,,
2026-09-19T16:17:02+00:00,2a,propietario_economico,gpt-4o-mini,openai,"{""max_output_tokens"": 30, ""temperature"": 0}",medicion,defecto|med|T0,3,18,4,0,0.8974,Octopus.,,,,5.1e-06,,
2026-09-19T16:17:02+00:00,2a,propietario_economico,gpt-4o-mini,openai,"{""max_output_tokens"": 30, ""temperature"": 0}",medicion,defecto|med|T0,2,18,4,0,0.8991,Octopus.,,,,5.1e-06,,
2026-09-19T16:17:02+00:00,2a,propietario_economico,gpt-4o-mini,openai,"{""max_output_tokens"": 30, ""temperature"": 0}",medicion,defecto|med|T0,1,18,4,0,0.9231,Octopus.,,,,5.1e-06,,
2026-09-19T16:17:03+00:00,2a,propietario_economico,gpt-4o-mini,openai,"{""max_output_tokens"": 30, ""temperature"": 0}",medicion,defecto|med|T0,7,18,4,0,0.7469,Octopus.,,,,5.1e-06,,
2026-09-19T16:17:03+00:00,2a,propietario_economico,gpt-4o-mini,openai,"{""max_output_tokens"": 30, ""temperature"": 0}",medicion,defecto|med|T0,4,18,4,0,0.8346,Octopus.,,,,5.1e-06,,
2026-09-19T16:17:03+00:00,2a,propietario_economico,gpt-4o-mini,openai,"{""max_output_tokens"": 30, ""temperature"": 0}",medicion,defecto|med|T0,5,18,4,0,0.7849,Octopus.,,,,5.1e-06,,
2026-09-19T16:17:04+00:00,2a,propietario_economico,gpt-4o-mini,openai,"{""max_output_tokens"": 30, ""temperature"": 0}",medicion,defecto|med|T0,6,18,4,0,1.5226,Octopus.,,,,5.1e-06,,
2026-09-19T16:17:04+00:00,2a,propietario_economico,gpt-4o-mini,openai,"{""max_output_tokens"": 30, ""temperature"": 1.6}",medicion,defecto|med|BASE,0,18,5,0,0.7537,Kangaroo.,,,,5.7e-06,,
2026-09-19T16:17:04+00:00,2a,propietario_economico,gpt-4o-mini,openai,"{""max_output_tokens"": 30, ""temperature"": 1.6}",medicion,defecto|med|BASE,2,18,5,0,0.76,Cheetah.,,,,5.7e-06,,
2026-09-19T16:17:04+00:00,2a,propietario_economico,gpt-4o-mini,openai,"{""max_output_tokens"": 30, ""temperature"": 1.6}",medicion,defecto|med|BASE,1,18,4,0,0.8182,Quokka.,,,,5.1e-06,,
